movieId,cast,director,overview
4814,"Steve Zahn,Paul Walker,Leelee Sobieski,Jessica Bowman,Stuart Stone",John Dahl,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer."
4815,"Alex D. Linz,Zena Grey,Nora Dunn",Tim Hill,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all."
4816,"John Cusack,Kate Beckinsale,Jeremy Piven,Bridget Moynahan,Eugene Levy",Peter Chelsom,"Although strangers Sara and Jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again."
4818,"Mercedes Morán,Graciela Borges,Martín Adjemián,Leonora Balcarce,Silvia Baylé",Lucrecia Martel,"Chekhov in contemporary Argentina. Mecha and Gregorio are at their rundown country place near La Ciénaga with their teen children. It's hot. The adults drink constantly; Mecha cuts herself, engendering a trip to the hospital and a visit from her son José. A cousin, Tali, brings her children. The kids are on their own, sunbathing by the filthy pool, dancing in town, running in the hills with shotguns, driving cars without licenses. One of the teen girls loves Isabel, a family servant constantly accused of stealing. Mother and son, son and sisters, teen and Isabel are in each other's beds and bathrooms with a creepy intimacy. With no adults paying attention, who's at risk?"
4821,"Lee Marvin,Mark Hamill,Robert Carradine,Bobby Di Cicco,Kelly Ward",Samuel Fuller,"A veteran sergeant of the World War I leads a squad in World War II, always in the company of the survivor Pvt. Griff, the writer Pvt. Zab, the Sicilian Pvt. Vinci and Pvt. Johnson in Vichy French Africa, Sicily, D-Day at Omaha Beach, Belgium and France, ending in a concentration camp in Czechoslovakia where they face the true horror of war."
4822,"Suzanna Love,Ron James,John Carradine,Nicholas Love,Raymond Boyden",Ulli Lommel,"A young girl witnesses her brother murder a man through a reflection in a mirror. Twenty years later the mirror is shattered, freeing his evil spirit, which seeks revenge for his death."
4823,"Claude Brasseur,Brigitte Fossey,Sophie Marceau,Denise Grey,Dominique Lavanant",Claude Pinoteau,"LA BOUM is the story of a 13-year-old French girl dealing with moving to a new city and school in Paris, while at the same time her parents are getting a divorce."
4825,"Robert Redford,Yaphet Kotto,Jane Alexander,Morgan Freeman,Murray Hamilton",Stuart Rosenberg,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.
4826,"Alex Briley,David Hodo,Glenn Hughes,Randy Jones,Felipe Rose",Nancy Walker,A loose biography of seminal disco hit-makers The Village People and their composer  Jacques Morali.
4827,"George C. Scott,Trish Van Devere,Melvyn Douglas,Jean Marsh,John Colicos",Peter Medak,"A man staying at a secluded historical mansion, finds his life being haunted by the presence of a spectre."
4828,"Sissy Spacek,Tommy Lee Jones,Levon Helm,Beverly D'Angelo,William Sanderson",Michael Apted,"Biography of Loretta Lynn, a country and western singer that came from poverty to fame."
4830,"Richard Dreyfuss,Amy Irving,Lee Remick,Sam Wanamaker,Joseph Cali",Joel Oliansky,"The movie centers on a piano competition whose winner is assured of success. It is Paul's last chance to compete, but newcomer Heidi may be a better pianist. Can romance be far away? Will she take a dive despite the pressure to win from her teacher, Greta, or will she condemn Paul to obscurity?"
4831,"Catherine Deneuve,Gérard Depardieu,Jean Poiret,Andréa Ferréol,Paulette Dubost",François Truffaut,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs."
4833,"Bruce Willis,Billy Bob Thornton,Cate Blanchett,Troy Garity,William Converse-Roberts",Barry Levinson,Two bank robbers fall in love with the girl they've kidnapped.
4835,"Chris Kattan,Vinessa Shaw,Peter Falk,Peter Berg,Chris Penn",Rob Pritts,"Corky Romano is a bumbling, simpleton, veterinarian and the youngest, outcast son of an aging gangster, named Pops Romano, who calls upon Corky to infiltrate the local FBI and retrieve and destroy evidence being used to incriminate Pops for racketeering charges."
4836,"Yu Rong-Guang,Donnie Yen,Jean Wang,Angie Tsang Sze-Man,Yen Shi-Kwan",Yuen Woo-ping,"Iron Monkey is a Hong Kong variation of Robin Hood. Corrupt officials of a Chinese village are robbed by a masked bandit known as ""Iron Monkey"", named after a benevolent deity. When all else fails, the Governor forces a traveling physician into finding the bandit. The arrival of an evil Shaolin monk, brings the physician and Iron Monkey together to battle the corrupt government."
4840,"Anaïs Reboux,Roxane Mesquida,Libero De Rienzo,Arsinée Khanjian,Romain Goupil",Catherine Breillat,"Anaïs is twelve and bears the weight of the world on her shoulders. She watches her older sister, Elena, whom she both loves and hates. Elena is fifteen and devilishly beautiful. Neither more futile, nor more stupid than her younger sister, she cannot understand that she is merely an object of desire. And, as such, she can only be taken. Or had. Indeed, this is the subject: a girl's loss of virginity. And, that summer, it opens a door to tragedy."
4844,"Naomi Watts,Laura Harring,Justin Theroux,Ann Miller,Dan Hedaya",David Lynch,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project."
4845,"Albert Brooks,Leelee Sobieski,John Goodman,Carol Kane,Desmond Harrington",Christine Lahti,"Leelee Sobieski is brash, abrasive and vulnerable as a teenage child of divorce who hides her pain behind a mask of hard-edged gothic rebellion. Albert Brooks plays a man who is her total opposite, a precise and well-ordered menswear store owner of forty-nine who manages limited expectations and protects lonely secrets with pleasant ritual and quiet, ironic reserve. These two total opposites collide in conflict then come together in a surprising alliance, changing each other's lives forever."
4846,"Ryuji Aigase,Takehito Koyasu,Showtaro Morikubo,Katsumi Suzuki,Ken Shiroyama",Hirotsugu Kawasaki,An elite superhuman agent must stop a foreign military unit from seizing control of an ancient artifact that holds the key to ultimate power.
4847,"Snoop Dogg,Pam Grier,Michael T. Weiss,Clifton Powell,Katharine Isabelle",Ernest R. Dickerson,"Over 20 years after his death by a gunshot, Jimmy Bones comes back as a ghost to wreak revenge on those who killed him and to clean up his neighborhood."
4848,"Clint Eastwood,Harry Guardino,Reni Santoni,John Vernon,Andrew Robinson",Don Siegel,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself."
4849,"Chaim Topol,Norma Crane,Leonard Frey,Molly Picon,Paul Mann",Norman Jewison,"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards."
4850,"Judd Nelson,Dana Olsen,Jonna Lee,Gordon Jump,Walter Olkewicz",Dorian Walker,"Lazy preppie Palmer Woodrow hires street-smart Eddie Keaton to go to school for him while he lives it up in Europe. Eddie falls in love with preppie gal Tracey, upsetting Biff, the Hoover Academy bully. When his bookie from the old neighborhood, Dice, comes to collect on Eddie's gambling debts and Palmer returns early from Europe, the the scheme slowly starts to unravel. Soon, Eddie can't even tell whose side he's really on."
4852,"Sally Field,Alfred Molina,Sheila Rosenthal,Roshan Seth,Sarah Badel",Brian Gilbert,"An American woman, trapped in Islamic Iran by her brutish husband, must find a way to escape with her daughter as well."
4855,"Divine,David Lochary,Mary Vivian Pearce,Mink Stole,Edith Massey",John Waters,"The life and times of Dawn Davenport, showing her progression from bratty schoolgirl to crazed mass murderer - all of which stems from her parents' refusal to buy her cha-cha heels for Christmas."
4857,Leonard Nimoy,Stephen Low,"Titanica is a fascinating non-fiction drama which tells the story of the 1991 expedition to the wreck of the Titanic, the ""unsinkable"" luxury liner which collided with an iceberg and sank on April 15, 1912, losing 1,522 lives. Viewers experience the adventure, drama and danger of deep sea exploration through the activities of an international expedition team composed of unique and colourful characters, each with their own personal interest in the legendary wreck. Combining spectacular life-size images of the shattered remains on the ocean floor with recollections by survivor Eva Hart and computer-enhanced archival photographs, Titanica brings to life a remarkable tale of history, science and human ambition. IMAX"
4860,"Johnny Depp,Heather Graham,Ian Holm,Robbie Coltrane,Ian Richardson","Albert Hughes,Allen Hughes",Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.
4862,"Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,Delroy Lindo",Rod Lurie,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.
4863,"Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,Logan Lerman",Penny Marshall,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father."
4864,"William H. Macy,Laura Dern,David Paymer,Meat Loaf",Neal Slavin,"In the waning months of World War II, a man and his wife are mistakenly identified as Jews by their anti-Semitic Brooklyn neighbors. Suddenly the victims of religious and racial persecution, they find themselves aligned with a local Jewish immigrant in a struggle for dignity and survival."
4865,"Wiley Wiggins,Adam Goldberg,Ethan Hawke,Julie Delpy,Alex Jones",Richard Linklater,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life."
4866,"Jeff Bridges,Kevin Spacey,Mary McCormack,Alfre Woodard,Ajay Naidu",Iain Softley,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations."
4867,"Tony Shalhoub,Embeth Davidtz,Matthew Lillard,Shannon Elizabeth,Matthew Harrison",Steve Beck,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive."
4871,"David Wenham,Susie Porter,Catherine McClements,Kris McQuade,Simon Bossell",Jonathan Teplitzky,After a one-night stand a couple is faced with the terrifying possibility of what they really want.
4873,"Jake Gyllenhaal,Jena Malone,Patrick Swayze,Maggie Gyllenhaal,Drew Barrymore",Richard Kelly,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes."
4874,"Minnie Driver,Mary McCormack,Kevin McNally,Danny Dyer,Michael Gambon",Mel Smith,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.
4876,"Kevin Kline,Kristin Scott Thomas,Hayden Christensen,Jena Malone,Mary Steenburgen",Irwin Winkler,"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father."
4877,"Billy Bob Thornton,Frances McDormand,Michael Badalucco,James Gandolfini,Scarlett Johansson",Joel Coen,"A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it."
4878,"Ariane Ascaride,Jean-Pierre Darroussin,Jacques Boudet,Christine Brücher",Robert Guédiguian,"A dark tale of working-class life in Marseilles, a city in crisis. Interesting characters include a hard-bitten but compassionate fish market worker with a drug addicted daughter and a moody bartender with a shocking secret life."
4879,"John Travolta,Vince Vaughn,Teri Polo,Matt O'Leary,Steve Buscemi",Harold Becker,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.
4880,"John Goodman,Billy Crystal,Steve Buscemi,James Coburn,Jennifer Tilly",Pete Docter,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."
4881,"Jet Li,Jason Statham,Carla Gugino,Delroy Lindo,James Morrison",James Wong,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.
4883,"Uma Thurman,Ethan Hawke,Robert Sean Leonard",Richard Linklater,"A three-character ensemble piece set within the confines of a tawdry motor lodge in Lansing, Michigan. After 10 years apart, three disparate people come together to play out the unresolved drama of their final days in high school. Intrigued, we watch as layers of denial are slowly peeled away. Suspense builds as each character is provoked into revealing his or her true nature and motivation. Mesmerized, we are drawn into their lives as they choose which cards to play and which cards to hold."
4885,"Gene Hackman,Danny DeVito,Delroy Lindo,Sam Rockwell,Rebecca Pidgeon",David Mamet,"Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane and their utility man, Pinky Pincus find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job."
4886,"Gwyneth Paltrow,Jack Black,Jason Alexander,Joe Viterelli,Rene Kirby","Bobby Farrelly,Peter Farrelly","A shallow man falls in love with a 300 pound woman because of her ""inner beauty""."
4887,"Carol Kane,Charles Durning,Colleen Dewhurst,Tony Beckley,Rutanya Alda",Fred Walton,"A psychopathic killer terrorizes a babysitter, then returns seven years later to menace her again."
4888,"Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris,Tom Felton",Chris Columbus,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."
4889,"Steve Martin,Helena Bonham Carter,Laura Dern,Lynne Thigpen,Chelcie Ross",David Atkins,A dentist finds himself a murder suspect after a sexy patient seduces him into prescribing her drugs
4890,"Martin Lawrence,Marsha Thomason,Tom Wilkinson,Vincent Regan,Daryl Mitchell",Gil Junger,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England."
4893,"Jason London,Lee Majors,Zach Galifianakis,Victoria Silvstedt,David Koechner","Brendan Malloy,Emmett Malloy","Rick Rambis and his friends are having the time of their lives on Bull Mountain—until the legendary Papa Muntz' son decides to sell the mountain to a sleazy land developer, have the staff fired and turn Bull Mountain into 'Yuppieville'."
4896,"Robert Redford,Brad Pitt,Stephen Dillane,Larry Bryggman,Catherine McCormack",Tony Scott,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal."
4898,"Eduardo Noriega,Federico Luppi,Marisa Paredes,Fernando Tielve,Íñigo Garcés",Guillermo del Toro,"After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds."
4899,"Tom Wilkinson,Sissy Spacek,Nick Stahl,Marisa Tomei,William Mapother",Todd Field,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy."
4900,"Lily Tomlin,Charles Grodin,Ned Beatty,Henry Gibson",Joel Schumacher,"After being exposed to a bizarre mixture of household chemicals, Pat Kramer begins to shrink. This baffles scientists, makes parenting difficult, warms the hearts of Americans, and captures the attention of a group of people who want to take over the world. This evil group plots to kidnap Pat and perform experiments on her so that they can eventually shrink everyone."
4901,"Michael Palin,Harry H. Corbett,John Le Mesurier,Max Wall,Warren Mitchell",Terry Gilliam,A medieval tale with Pythonesque humour: After the death of his father the young Dennis Cooper goes to town where he has to pass several adventures. The town and the whole kingdom is threatened by a terrible monster called 'Jabberwocky'. Will Dennis make his fortune? Is anyone brave enough to defeat the monster?
4902,"Barbra Streisand,Omar Sharif,Kay Medford,Anne Francis,Walter Pidgeon",William Wyler,"The story of the life of comedienne Fanny Brice, from her early days in the Jewish slums of the Lower East Side, to the height of her career with the Ziegfeld Follies, including her marriage to and eventual divorce from her first husband, Nick Arnstein."
4903,"Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Jean-Pierre Melville,Henri-Jacques Huet",Jean-Luc Godard,A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.
4909,"Marc Singer,Tanya Roberts,Rip Torn,John Amos,Joshua Milrad",Don Coscarelli,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers."
4911,"Charlton Heston,Henry Fonda,James Coburn,Glenn Ford,Hal Holbrook",Jack Smight,"This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II."
4912,"Gregory Peck,Ivan Bonar,Ward Costello,Nicolas Coster,Marj Dusay",Joseph Sargent,"The film portrays MacArthur's (Gregory Peck) life from 1942, before the Battle of Bataan, to 1952, the time after he had been removed from his Korean War command by President Truman (Ed Flanders) for insubordination, and is recounted in flashback as he visits West Point."
4914,"Isabelle Adjani,Christopher Lambert,Richard Bohringer,Michel Galabru,Jean-Hugues Anglade",Luc Besson,"Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals. Despite being pursued by the henchmen, Fred finds the time to flirt with Héléna, blow a safe, rob a train, evade the hapless Metro police, and start a rock band"
4915,"Bette Davis,Paul Henreid,Claude Rains,Gladys Cooper,Bonita Granville",Irving Rapper,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.
4916,"Katharine Hepburn,Joan Bennett,Paul Lukas,Edna May Oliver,Jean Parker",George Cukor,"Little Women is a coming-of-age drama tracing the lives of four sisters: Meg, Jo, Beth and Amy. During the American Civil War, the girls father is away serving as a minister to the troops. The family, headed by their beloved Marmee, must struggle to make ends meet, with the help of their kind and wealthy neighbor, Mr. Laurence, and his high spirited grandson Laurie."
4917,"Peter Falk,Ann-Margret,Eileen Brennan,Sid Caesar,Stockard Channing",Robert Moore,"Spoofing the entire 1940s detective genre, and his own performances as a bumbling private detective, Peter Falk plays Lou Pekinpaugh, a San Francisco private detective accused of murdering his partner at the instigation of his mistress, the partner's wife, Georgia Merkle."
4919,"Josse De Pauw,Eva van der Gucht,Werner De Smedt,Thekla Reuten,Victor Löw",Dominique Deruddere,
4920,"Richard Chamberlain,Olivia Hamnett,David Gulpilil,Frederick Parslow,Vivean Gray",Peter Weir,"Australian lawyer David Burton agrees with reluctance to defend a group of aborigines charged with murdering one of their own. He suspects the victim was targeted for violating a tribal taboo, but the defendants deny any tribal association. Burton, plagued by apocalyptic visions of water, slowly realizes danger may come from his own involvement with the aborigines and their prophecies."
4921,"Carole Bouquet,Ángela Molina,Fernando Rey,Milena Vukotic,Julien Bertheau",Luis Buñuel,"After dumping a bucket of water on a beautiful young woman from the window of a train car, wealthy Frenchman Mathieu, regales his fellow passengers with the story of the dysfunctional relationship between himself and the young woman in question, a fiery 19-year-old flamenco dancer named Conchita. What follows is a tale of cruelty, depravity and lies -- the very building blocks of love."
4925,"Richard Pryor,Jackie Gleason,Ned Beatty,Scott Schwartz,Teresa Ganzel",Richard Donner,"On one of his bratty son Eric's annual visits, the plutocrat U.S. Bates takes him to his department store and offers him anything in it as a gift. Eric chooses a black janitor who has made him laugh with his antics. At first the man suffers many indignities as Eric's ""toy"", but gradually teaches the lonely boy what it is like to have and to be a friend."
4926,"Michael Caine,Angie Dickinson,Nancy Allen,Keith Gordon,Dennis Franz",Brian De Palma,"A mysterious, tall, blonde woman wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it."
4927,"Irene Cara,Lee Curreri,Laura Dean,Boyd Gaines,Albert Hague",Alan Parker,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.
4928,"Kirk Douglas,Martin Sheen,Katharine Ross,James Farentino,Ron O'Neal",Don Taylor,"In 1980, the US Navy's most powerful warship, the USS Nimitz, is caught in a storm during routine maneuvers in the Pacific. Enveloped by a strange green light, the ship passes through a vortex and when they emerge, their communications have been cut off. The ship's Captain sends out a patrol and the F-14 pilots are shocked to encounter vintage Japanese warplanes."
4929,"Sam Jones,Melody Anderson,Max von Sydow,Chaim Topol,Ornella Muti",Mike Hodges,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth."
4932,"Gerald Mohr,Naura Hayden,Les Tremayne,Jack Kruschen,Paul Hahn",Ib Melchior,The first manned flight to Mars returns after having been out of communications since it had arrived on Mars. What would it reveal?
4936,"Clint Eastwood,Tyne Daly,Harry Guardino,Bradford Dillman,John Mitchum",James Fargo,"Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans."
4939,"Chuck Norris,Christopher Lee,Richard Roundtree,Matt Clark,Mako Iwamatsu",Steve Carver,Sean Kane is forced to resign from the San Francisco Police Department's Narcotics Division when he goes berserk after his partner is murdered. He decides to fight alone and follows a trail of drug traffickers into unexpected high places.
4941,"Clint Eastwood,Sondra Locke,Pat Hingle,William Prince,Bill McKinney",Clint Eastwood,Phoenix cop Ben Shockley is well on his way to becoming a derelict when he is assigned to transport a witness named Gus Mally from Vegas. Mally turns out to be a belligerent prostitute with mob ties and incriminating information regarding a high-placed figure.
4942,"Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,Andrew Taft",Harry Hook,"Stranded on an island, a group of schoolboys degenerate into savagery."
4945,"Mel Smith,Griff Rhys Jones,Joanne Pearce,Jimmy Nail,Paul Bown",Mike Hodges,"The story begins on a small spaceship docking with a refueling station. On board are a group of four aliens, Bernard, Sandra, Desmond, and Julian. During a particularly tedious period of their stay at the station, the other three begin playing with the ship’s controls while Bernard is outside playing spaceball. They accidentally disconnect his part of the ship, leaving him stranded while they crash into a large blue planet close by (Earth)."
4946,"Patrick Wayne,Doug McClure,Sarah Douglas,Dana Gillespie,Thorley Walters",Kevin Connor,"A sequel to The Land That Time Forgot. Major Ben McBride organises a mission to the Antarctic wastes to search for his friend (Doug McClure) who has been missing in the region for several years. McBride's party find themselves in a world populated by primitive warriors and terrifying prehistoric creatures, all of whom they must evade in order to get back safely"
4947,"Frank Sinatra,Dean Martin,Sammy Davis Jr.,Peter Lawford,Angie Dickinson",Lewis Milestone,Ocean's Eleven is the 'Rat-Pack' comedy about robber Danny Ocean and his gang's attempt to rob the five biggest casinos in Las Vegas.
4951,"Peter O'Toole,Steve Railsback,Barbara Hershey,Allen Garfield,Alex Rocco",Richard Rush,"While on the run from the police, Steve Railsback hides in a group of moviemakers where he pretends to be a stunt man. Both aided and endangered by the director (Peter O'Toole) he avoids both the police and sudden death as a stuntman. The mixture of real danger and fantasy of the movie is an interesting twist for the viewer as the two blend in individual scenes."
4952,"Clint Eastwood,Sondra Locke,Pat Hingle,Bradford Dillman,Paul Drake",Clint Eastwood,"When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice."
4953,"Owen Wilson,Gene Hackman,Gabriel Macht,Charles Malik Whitfield,David Keith",John Moore,"While flying a routine reconnaissance mission over Bosnia, fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines, where he must outrun an army led by a ruthless Serbian general. With time running out and a deadly tracker on his trail, Burnett's commanding officer decides to risk his career and launch a renegade rescue mission to save his life."
4954,"Hilary Swank,Simon Baker,Christopher Walken,Hayden Panettiere,Jonathan Pryce",Charles Shyer,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country, must avenge her family's fall from grace by scheming to steal a priceless necklace."
4956,"Ron Jeremy,William Margold,Al Goldstein,Al Lewis,Seymore Butts",Scott J. Gill,"Porn Star: The Legend of Ron Jeremy offers audiences a penetrating look inside the world of Ron Jeremy, America's most unlikely sex star and hero to millions. With nearly 25 years in the adult film industry and over 1,600 films to his credit, Ron Jeremy is huge. In his world, Ron reigns supreme-he's made millions of dollars and slept with thousands of beautiful women, and is indisputably the industry's biggest star. And everyone who's anyone knows Ron-a pop icon to millions, he is a beacon of hope for many American male, since he stands as living proof that pretty much anyone can get some. So how did such a classically unhandsome, big and hairy guy ever get to be suchia super stud? In one of the most fascinating and entertaining comedies of the last year, audiences finally get a chance to get inside the life and times of Ron Jeremy, and find out what's really behind the hardest working man in show business."
4957,"James Van Der Beek,Rachael Leigh Cook,Ashton Kutcher,Dylan McDermott,Usher",Steve Miner,"Ten years after the Civil War has ended, the Governor of Texas asks Leander McNelly to form a company of Rangers to help uphold the law along the Mexican border. With a few veterans of the war, most of the recruits are young men who have little or no experience with guns or policing crime."
4958,"George Clooney,Brad Pitt,Matt Damon,Andy García,Julia Roberts",Steven Soderbergh,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."
4959,"Hossein Abedini,Zahra Bahrami,Mohammad Amir Naji,Hossein Mahjoub,Abbas Rahimi",Majid Majidi,"In a building site in present-day Tehran, Lateef, a 17-year-old Kurdish worker is irresistibly drawn to Rahmat, a young Afghan worker. When Lateef is given heavier tasks to compensate for new Afghan worker Rahmat, he resents his displacement and treats Rahmat cruelly. After one of his pranks, however, Lateef discovers Rahmat's secret--he is a girl named Baran. Latif's heart softens towards Baran and he shows his new affection for her by doing what he can to ease the hardships she suffers at work. revelation of Rahmat's secret changes both their lives.Baran is a 2001 Iranian film directed by Majid Majidi, based on an original script by Majid Majidi. The movie is set during recent times in which there are a large number of Afghan refugees living on the outskirts of Tehran. Almost a silent movie, Baran won a number of awards both nationally and internationally for the director and writer Majid Majidi."
4961,"Julia Stiles,Stockard Channing,Frederick Weller,Marcus Giamatti,Jack Hallett",Patrick Stettner,"Julie Styron thinks she is going to be fired, but instead discovers that she is being promoted. Trapped in an airport hotel, she wants to celebrate but finds only the company of her young assistant, Paula Murphy. As the night progresses, the two women get to know each other. They flirt, they drink, they lie; personal flaws are revealed and exposed. But at the end of the night their relationship turns and becomes a complex battle of power, authority, and wit."
4962,"Grant Williams,Randy Stuart,April Kent,Paul Langton,Raymond Bailey",Jack Arnold,"While on a boating trip, Scott Carey is exposed to a radioactive cloud. Nothing seems amiss at first, but several months later Scott realizes that he's shrunk in height by several inches. He sees a doctor, who admits that he's baffled. As Scott continues to shrink, decreasing to three feet tall, he becomes bitter, and lashes out at his wife, Louise. He begins to fear a cure will never be found -- since even as he becomes a national sensation, he's still shrinking."
4963,"Branko Đurić,Rene Bitorajac,Filip Šovagović,Georges Siatidis",Danis Tanović,"Two soldiers from opposite sites get stuck between the front lines in the same trench. The UN is asked to free them and both sides agree on a ceasefire, but will they stick to it?"
4964,"Barry Fitzgerald,Walter Huston,Louis Hayward,Roland Young,June Duprez",René Clair,"10 strangers are summoned to a remote island and while they are waiting for the mysterious host to appear, a recording levels serious accusations at each of the guests, including Judge Francis J. Quinncannon and Dr. Edward G. Armstrong, and soon they start being murdered, one by one. As the survivors try to keep their wits, they reach a disturbing conclusion: one of them must be the killer."
4965,"Emil Jannings,Marlene Dietrich,Kurt Gerron,Rosa Valetti,Hans Albers",Josef von Sternberg,"Prim professor Immanuel Rath finds some of his students ogling racy photos of cabaret performer Lola Lola and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is filled with lust, eventually resigning his position at the school to marry the young woman. However, his marriage to a coquette -- whose job is to entice men -- proves to be more difficult than Rath imagined."
